Bulbizarre Bulbasaur
Herbizarre Ivysaur
Florizarre Venusaur
Salamèche Charmander
Reptincel Charmeleon
Dracaufeu Charizard
Carapuce Squirtle
Carabaffe Wartortle
Tortank Blastoise
Chenipan Caterpie
Chrysacier Metapod
Papilusion Butterfree
Aspicot Weedle
Coconfort Kakuna
Dardargnan Beedrill
Roucool Pidgey
Roucoups Pidgeotto
Roucarnage Pidgeot
Rattata Rattata
Rattatac Raticate
Piafabec Spearow
Rapasdepic Fearow
Abo Ekans
Arbok Arbok
Pikachu Pikachu
Raichu Raichu
Sabelette Sandshrew
Sablaireau Sandslash
Nidoran♀ Nidoran♀
Nidorina Nidorina
Nidoqueen Nidoqueen
Nidoran♂ Nidoran♂
Nidorino Nidorino
Nidoking Nidoking
Mélofée Clefairy
Mélodelfe Clefable
Goupix Vulpix
Feunard Ninetales
Rondoudou Jigglypuff
Grodoudou Wigglytuff
Nosferapti Zubat
Nosferalto Golbat
Mystherbe Oddish
Ortide Gloom
Rafflesia Vileplume
Paras Paras
Parasect Parasect
Mimitoss Venonat
Aéromite Venomoth
Taupiqueur Diglett
Triopikeur Dugtrio
Miaouss Meowth
Persian Persian
Psykokwak Psyduck
Akwakwak Golduck
Férosinge Mankey
Colossinge Primeape
Caninos Growlithe
Arcanin Arcanine
Ptitard Poliwag
Têtarte Poliwhirl
Tartard Poliwrath
Abra Abra
Kadabra Kadabra
Alakazam Alakazam
Machoc Machop
Machopeur Machoke
Mackogneur Machamp
Chétiflor Bellsprout
Boustiflor Weepinbell
Empiflor Victreebel
Tentacool Tentacool
Tentacruel Tentacruel
Racaillou Geodude
Gravalanch Graveler
Grolem Golem
Ponyta Ponyta
Galopa Rapidash
Ramoloss Slowpoke
Flagadoss Slowbro
Magnéti Magnemite
Magnéton Magneton
Canarticho Farfetch'd
Doduo Doduo
Dodrio Dodrio
Otaria Seel
Lamantine Dewgong
Tadmorv Grimer
Grotadmorv Muk
Kokiyas Shellder
Crustabri Cloyster
Fantominus Gastly
Spectrum Haunter
Ectoplasma Gengar
Onix Onix
Soporifik Drowzee
Hypnomade Hypno
Krabby Krabby
Krabboss Kingler
Voltorbe Voltorb
Électrode Electrode
Nœunœuf Exeggcute
Noadkoko Exeggutor
Osselait Cubone
Ossatueur Marowak
Kicklee Hitmonlee
Tygnon Hitmonchan
Excelangue Lickitung
Smogo Koffing
Smogogo Weezing
Rhinocorne Rhyhorn
Rhinoféros Rhydon
Leveinard Chansey
Saquedeneu Tangela
Kangourex Kangaskhan
Hypotrempe Horsea
Hypocéan Seadra
Poissirène Goldeen
Poissoroy Seaking
Stari Staryu
Staross Starmie
Insécateur Scyther
Lippoutou Jynx
Élektek Electabuzz
Magmar Magmar
Scarabrute Pinsir
Tauros Tauros
Magicarpe Magikarp
Léviator Gyarados
Lokhlass Lapras
Métamorph Ditto
Évoli Eevee
Aquali Vaporeon
Voltali Jolteon
Pyroli Flareon
Porygon Porygon
Amonita Omanyte
Amonistar Omastar
Kabuto Kabuto
Kabutops Kabutops
Ptéra Aerodactyl
Ronflex Snorlax
Artikodin Articuno
Électhor Zapdos
Sulfura Moltres
Minidraco Dratini
Draco Dragonair
Dracolosse Dragonite
Mewtwo Mewtwo
Mew Mew
Germignon Chikorita
Macronium Bayleef
Méganium Meganium
Héricendre Cyndaquil
Feurisson Quilava
Typhlosion Typhlosion
Kaiminus Totodile
Crocrodil Croconaw
Aligatueur Feraligatr
Fouinette Sentret
Fouinar Furret
Hoothoot Hoothoot
Noarfang Noctowl
Coxy Ledyba
Coxyclaque Ledian
Mimigal Spinarak
Migalos Ariados
Nostenfer Crobat
Loupio Chinchou
Lanturn Lanturn
Pichu Pichu
Mélo Cleffa
Toudoudou Igglybuff
Togepi Togepi
Togetic Togetic
Natu Natu
Xatu Xatu
Wattouat Mareep
Lainergie Flaaffy
Pharamp Ampharos
Joliflor Bellossom
Marill Marill
Azumarill Azumarill
Simularbre Sudowoodo
Tarpaud Politoed
Granivol Hoppip
Floravol Skiploom
Cotovol Jumpluff
Capumain Aipom
Tournegrin Sunkern
Héliatronc Sunflora
Yanma Yanma
Axoloto Wooper
Maraiste Quagsire
Mentali Espeon
Noctali Umbreon
Cornèbre Murkrow
Roigada Slowking
Feuforêve Misdreavus
Zarbi Unown
Qulbutoké Wobbuffet
Girafarig Girafarig
Pomdepik Pineco
Foretress Forretress
Insolourdo Dunsparce
Scorplane Gligar
Steelix Steelix
Snubbull Snubbull
Granbull Granbull
Qwilfish Qwilfish
Cizayox Scizor
Caratroc Shuckle
Scarhino Heracross
Farfuret Sneasel
Teddiursa Teddiursa
Ursaring Ursaring
Limagma Slugma
Volcaropod Magcargo
Marcacrin Swinub
Cochignon Piloswine
Corayon Corsola
Rémoraid Remoraid
Octillery Octillery
Cadoizo Delibird
Démanta Mantine
Airmure Skarmory
Malosse Houndour
Démolosse Houndoom
Hyporoi Kingdra
Phanpy Phanpy
Donphan Donphan
Porygon2 Porygon2
Cerfrousse Stantler
Queulorior Smeargle
Debugant Tyrogue
Kapoera Hitmontop
Lippouti Smoochum
Élekid Elekid
Magby Magby
Écrémeuh Miltank
Leuphorie Blissey
Raikou Raikou
Entei Entei
Suicune Suicune
Embrylex Larvitar
Ymphect Pupitar
Tyranocif Tyranitar
Lugia Lugia
Ho-Oh Ho-Oh
Celebi Celebi
Arcko Treecko
Massko Grovyle
Jungko Sceptile
Poussifeu Torchic
Galifeu Combusken
Braségali Blaziken
Gobou Mudkip
Flobio Marshtomp
Laggron Swampert
Medhyèna Poochyena
Grahyèna Mightyena
Zigzaton Zigzagoon
Linéon Linoone
Chenipotte Wurmple
Armulys Silcoon
Charmillon Beautifly
Blindalys Cascoon
Papinox Dustox
Nénupiot Lotad
Lombre Lombre
Ludicolo Ludicolo
Grainipiot Seedot
Pifeuil Nuzleaf
Tengalice Shiftry
Nirondelle Taillow
Hélédelle Swellow
Goélise Wingull
Bekipan Pelipper
Tarsal Ralts
Kirlia Kirlia
Gardevoir Gardevoir
Arakdo Surskit
Maskadra Masquerain
Balignon Shroomish
Chapignon Breloom
Parecool Slakoth
Vigoroth Vigoroth
Monaflèmit Slaking
Ningale Nincada
Ninjask Ninjask
Munja Shedinja
Chuchmur Whismur
Ramboum Loudred
Brouhabam Exploud
Makuhita Makuhita
Hariyama Hariyama
Azurill Azurill
Tarinor Nosepass
Skitty Skitty
Delcatty Delcatty
Ténéfix Sableye
Mysdibule Mawile
Galekid Aron
Galegon Lairon
Galeking Aggron
Méditikka Meditite
Charmina Medicham
Dynavolt Electrike
Élecsprint Manectric
Posipi Plusle
Négapi Minun
Muciole Volbeat
Lumivole Illumise
Rosélia Roselia
Gloupti Gulpin
Avaltout Swalot
Carvanha Carvanha
Sharpedo Sharpedo
Wailmer Wailmer
Wailord Wailord
Chamallot Numel
Camérupt Camerupt
Chartor Torkoal
Spoink Spoink
Groret Grumpig
Spinda Spinda
Kraknoix Trapinch
Vibraninf Vibrava
Libégon Flygon
Cacnea Cacnea
Cacturne Cacturne
Tylton Swablu
Altaria Altaria
Mangriff Zangoose
Séviper Seviper
Séléroc Lunatone
Solaroc Solrock
Barloche Barboach
Barbicha Whiscash
Écrapince Corphish
Colhomard Crawdaunt
Balbuto Baltoy
Kaorine Claydol
Lilia Lileep
Vacilys Cradily
Anorith Anorith
Armaldo Armaldo
Barpau Feebas
Milobellus Milotic
Morphéo Castform
